
# Efinity Pinout Report
# Version: 2020.2.299.4.5
# Date: 2021-02-28 20:14

# Copyright (C) 2017 - 2020 Efinix Inc. All rights reserved.

# Device: T20F256
# Package status: final
# Project: pixl
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
A1,GND,,Power,,,,,Ground
A2,GPIOL_50,,Input,1D_1E,3.3 V,,weak pullup,User IO
A3,GPIOL_57,,Input,1D_1E,3.3 V,,weak pullup,User IO
A4,GPIOL_59,,Input,1D_1E,3.3 V,,weak pullup,User IO
A5,GND,,Power,,,,,Ground
A6,GPIOL_65,,Input,1D_1E,3.3 V,,weak pullup,User IO
A7,GPIOL_62,,Input,1D_1E,3.3 V,,weak pullup,User IO
A8,GPIOL_66_CDI12,,Input,1D_1E,3.3 V,,weak pullup,User IO
A9,GPIOR_78_EXTFB0_CDI31,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO/PLL_EXTFB
A10,GPIOR_79_EXTFB1_CDI30,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO/PLL_EXTFB
A11,GPIOR_84,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
A12,GND,,Power,,,,,Ground
A13,GPIOR_95_CDI26,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
A14,GPIOR_90,a8_addr[15],Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
A15,GPIOR_94_CDI27,a8_ref_n,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
A16,GND,,Power,,,,,Ground
B1,GPIOL_44,,Input,1D_1E,3.3 V,,weak pullup,User IO
B2,GPIOL_45,,Input,1D_1E,3.3 V,,weak pullup,User IO
B3,GPIOL_52,,Input,1D_1E,3.3 V,,weak pullup,User IO
B4,GPIOL_53_CDI10,,Input,1D_1E,3.3 V,,weak pullup,User IO
B5,GPIOL_61,,Input,1D_1E,3.3 V,,weak pullup,User IO
B6,GPIOL_64,,Input,1D_1E,3.3 V,,weak pullup,User IO
B7,GPIOL_63,,Input,1D_1E,3.3 V,,weak pullup,User IO
B8,GPIOL_71_NSTATUS,,Input,1D_1E,3.3 V,,weak pullup,User IO/Configuration
B9,GPIOR_80,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
B10,GPIOR_82,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
B11,GPIOR_83,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
B12,GPIOR_93,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
B13,GPIOR_97,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
B14,GPIOR_92,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
B15,GPIOR_98,a8_addr[14],Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
B16,GPIOR_106,a8_mpd_n,Output,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
C1,GPIOL_33_CTRL5,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
C2,GPIOL_41_CDI9,,Input,1B_1C,3.3 V,,weak pullup,User IO
C3,GPIOL_48,,Input,1D_1E,3.3 V,,weak pullup,User IO
C4,GPIOL_51,,Input,1D_1E,3.3 V,,weak pullup,User IO
C5,GPIOL_67_CDI13,,Input,1D_1E,3.3 V,,weak pullup,User IO
C6,GPIOL_58,,Input,1D_1E,3.3 V,,weak pullup,User IO
C7,GPIOL_70_CBSEL0,,Input,1D_1E,3.3 V,,weak pullup,User IO
C8,GPIOL_72_EXTFB0_CDI14,,Input,1D_1E,3.3 V,,weak pullup,User IO/PLL_EXTFB
C9,GPIOR_76_PLLIN0,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO/PLL_CLKIN
C10,GPIOR_81_MREFCLK,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
C11,GPIOR_86,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
C12,GPIOR_85,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
C13,GPIOR_99,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
C14,GPIOR_102,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
C15,GPIOR_112_CDI23,a8_addr[13],Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
C16,GPIOR_108,a8_rst_n,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
D1,GPIOL_36,,Input,1B_1C,3.3 V,,weak pullup,User IO
D2,GND,,Power,,,,,Ground
D3,GPIOL_46,,Input,1D_1E,3.3 V,,weak pullup,User IO
D4,GPIOL_47,,Input,1D_1E,3.3 V,,weak pullup,User IO
D5,GPIOL_49,,Input,1D_1E,3.3 V,,weak pullup,User IO
D6,GPIOL_54_CDI11,,Input,1D_1E,3.3 V,,weak pullup,User IO
D7,GPIOL_69_CBSEL1,,Input,1D_1E,3.3 V,,weak pullup,User IO
D8,GPIOL_73_EXTFB1_CDI15,,Input,1D_1E,3.3 V,,weak pullup,User IO/PLL_EXTFB
D9,GPIOL_74_PLLIN0,,Input,1D_1E,3.3 V,,weak pullup,User IO/PLL_CLKIN
D10,GPIOR_77_PLLIN1,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO/PLL_CLKIN
D11,GPIOR_87_CDI29,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
D12,GPIOR_89,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
D13,GPIOR_103,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
D14,GPIOR_104_CDI25,a8_halt_n,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
D15,GND,,Power,,,,,Ground
D16,GPIOR_116_CTRL15,a8_extsel_n,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
E1,GPIOL_37,,Input,1B_1C,3.3 V,,weak pullup,User IO
E2,GPIOL_34_CTRL6,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
E3,GPIOL_39,,Input,1B_1C,3.3 V,,weak pullup,User IO
E4,GPIOL_55,,Input,1D_1E,3.3 V,,weak pullup,User IO
E5,GPIOL_60,,Input,1D_1E,3.3 V,,weak pullup,User IO
E6,GPIOL_56,,Input,1D_1E,3.3 V,,weak pullup,User IO
E7,GPIOL_68,,Input,1D_1E,3.3 V,,weak pullup,User IO
E8,GPIOL_75_PLLIN1,,Input,1D_1E,3.3 V,,weak pullup,User IO/PLL_CLKIN
E9,VCC,,Power,,,,,1.2 V VCC Power
E10,VCCIO3A_3B_3C,,Power,3A_3B_3C,3.3 V,,,VCCIO Power
E11,GPIOR_88_CDI28,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
E12,GPIOR_91,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
E13,GPIOR_105_CDI24,,Input,3A_3B_3C,3.3 V,,weak pullup,User IO
E14,GPIOR_110,a8_irq_n,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO
E15,GPIOR_120_CLK15,a8_clk,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCLK
E16,GPIOR_119_CTRL12,a8_rd5,Input,3A_3B_3C,3.3 V,3.3 V LVTTL / LVCMOS,,User IO/GCTRL
F1,GPIOL_30_CLK6,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCLK
F2,GPIOL_32_CTRL4_CDI7,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
F3,GPIOL_35_CTRL7,,Input,1B_1C,3.3 V,,weak pullup,User IO/GCTRL
F4,GPIOL_43,,Input,1B_1C,3.3 V,,weak pullup,User IO
F5,GPIOL_40_CDI8,,Input,1B_1C,3.3 V,,weak pullup,User IO
F6,VCCIO1D_1E,,Power,1D_1E,3.3 V,,,VCCIO Power
F7,VCCA_TL,,Power,TL,,,,1.2 V PLL Power
F8,VCC,,Power,,,,,1.2 V VCC Power
